"input_id","company","domain","closed_date","stage_at_close","resolution","archive_coverage","signal_start","signal_end","evidence_summary","archive_url","error"
"deal-001","Northline Studio","northline-studio.example","2025-01-15","Fresh Rebuild","analyzed","complete","2024-11","2024-12","Homepage response length changed and stayed different across later captures. Review snapshots to assess the visual change.","https://web.archive.org/web/*/northline-studio.example",""
"deal-002","Morrow Goods","morrow-goods.example","2025-02-15","Fresh Rebuild","analyzed","complete","2024-11","2024-12","A persistent homepage change was observed across the sampled archive months.","https://web.archive.org/web/*/morrow-goods.example",""
"deal-003","Common Ground","common-ground.example","2025-03-15","Expanding","analyzed","complete","2024-11","2024-12","Archived page footprint grew steadily and remained higher.","https://web.archive.org/web/*/common-ground.example",""
"deal-004","Soft Signal","soft-signal.example","2025-04-15","Expanding","analyzed","complete","2024-11","2024-12","A sustained increase in archived pages suggests a broader site footprint.","https://web.archive.org/web/*/soft-signal.example",""
"deal-005","Forma Works","forma-works.example","2025-05-15","Actively Iterating","analyzed","complete","2024-11","2024-12","Repeated homepage changes appeared across the sampled months.","https://web.archive.org/web/*/forma-works.example",""
"deal-006","Daybreak Supply","daybreak-supply.example","2025-06-15","Stale After Rebuild","analyzed","complete","","","The last confirmed rebuild signal is older than six months.","https://web.archive.org/web/*/daybreak-supply.example",""
"deal-007","Field & Form","field-form.example","2025-07-15","Streamlining","analyzed","complete","","","The archived page footprint fell and stayed lower.","https://web.archive.org/web/*/field-form.example",""
"deal-008","Stillwater Co.","stillwater-co.example","2025-08-15","Gone Quiet","analyzed","complete","","","The previous signal is beyond the configured recency window.","https://web.archive.org/web/*/stillwater-co.example",""
"deal-009","Open Season","open-season.example","2025-09-15","Long Quiet Stretch","analyzed","complete","","","Available archive captures show a long stretch of limited change.","https://web.archive.org/web/*/open-season.example",""
"deal-010","Kinfolk Objects","kinfolk-objects.example","2025-01-15","No Strong Signal","analyzed","complete","","","Archive retrieval completed, but no strong pattern met the detection rules.","https://web.archive.org/web/*/kinfolk-objects.example",""
"deal-011","Sunday Assembly","sunday-assembly.example","2025-02-15","","unresolved","partial","","","","","Archive request timed out; no stage assigned."
"deal-012","New Company","","2025-03-15","","missing_input","unavailable","","","","","Company domain needs confirmation."
