"input_id","company","domain","analyzed_at","website_activity_state","resolution","archive_coverage","signal_start","signal_end","evidence_summary","archive_url","error"
"lead-001","Northline Studio","northline-studio.example","2026-09-21","Fresh Rebuild","analyzed","complete","2026-04","2026-06","Homepage response length changed and stayed different across later captures. Review snapshots to assess the visual change.","https://web.archive.org/web/*/northline-studio.example",""
"lead-002","Morrow Goods","morrow-goods.example","2026-09-21","Fresh Rebuild","analyzed","complete","2026-04","2026-06","A persistent homepage change was observed across the sampled archive months.","https://web.archive.org/web/*/morrow-goods.example",""
"lead-003","Common Ground","common-ground.example","2026-09-21","Expanding","analyzed","complete","2026-04","2026-06","Archived page footprint grew steadily and remained higher.","https://web.archive.org/web/*/common-ground.example",""
"lead-004","Soft Signal","soft-signal.example","2026-09-21","Expanding","analyzed","complete","2026-04","2026-06","A sustained increase in archived pages suggests a broader site footprint.","https://web.archive.org/web/*/soft-signal.example",""
"lead-005","Forma Works","forma-works.example","2026-09-21","Actively Iterating","analyzed","complete","2026-04","2026-06","Repeated homepage changes appeared across the sampled months.","https://web.archive.org/web/*/forma-works.example",""
"lead-006","Daybreak Supply","daybreak-supply.example","2026-09-21","Stale After Rebuild","analyzed","complete","","","The last confirmed rebuild signal is older than six months.","https://web.archive.org/web/*/daybreak-supply.example",""
"lead-007","Field & Form","field-form.example","2026-09-21","Streamlining","analyzed","complete","","","The archived page footprint fell and stayed lower.","https://web.archive.org/web/*/field-form.example",""
"lead-008","Stillwater Co.","stillwater-co.example","2026-09-21","Gone Quiet","analyzed","complete","","","The previous signal is beyond the configured recency window.","https://web.archive.org/web/*/stillwater-co.example",""
"lead-009","Open Season","open-season.example","2026-09-21","Long Quiet Stretch","analyzed","complete","","","Available archive captures show a long stretch of limited change.","https://web.archive.org/web/*/open-season.example",""
"lead-010","Kinfolk Objects","kinfolk-objects.example","2026-09-21","No Strong Signal","analyzed","complete","","","Archive retrieval completed, but no strong pattern met the detection rules.","https://web.archive.org/web/*/kinfolk-objects.example",""
"lead-011","Sunday Assembly","sunday-assembly.example","2026-09-21","","unresolved","partial","","","","","Archive request timed out; no stage assigned."
"lead-012","New Company","","2026-09-21","","missing_input","unavailable","","","","","Company domain needs confirmation."
